T (K)      Macro Gruneisen          Macro Gruneisen            LTEC (K-1)               LTEC (K-1)        
187   -1.014122762985617e+00    6.688235489029042e-01   -6.744697513312217e-07    1.224726406468380e-05
188   -1.007798079782183e+00    6.647857087325866e-01   -6.757269583237080e-07    1.227316147401138e-05
189   -1.001532369320167e+00    6.607947292608345e-01   -6.769566377571953e-07    1.229879378359514e-05
190   -9.953247367890714e-01    6.568499238764467e-01   -6.781588533366927e-07    1.232416441895952e-05
191   -9.891743012096718e-01    6.529506159126724e-01   -6.793336688242548e-07    1.234927675558690e-05
192   -9.830801953371033e-01    6.490961385787228e-01   -6.804811480776675e-07    1.237413411972470e-05
193   -9.770415655598942e-01    6.452858348873780e-01   -6.816013550887321e-07    1.239873978917770e-05
194   -9.710575717950889e-01    6.415190575789473e-01   -6.826943540210965e-07    1.242309699408597e-05
195   -9.651273873796452e-01    6.377951690418375e-01   -6.837602092475840e-07    1.244720891768858e-05
196   -9.592501989582783e-01    6.341135412299770e-01   -6.847989853869716e-07    1.247107869707352e-05
197   -9.534252063679267e-01    6.304735555773262e-01   -6.858107473401735e-07    1.249470942391398e-05
198   -9.476516225190216e-01    6.268746029097046e-01   -6.867955603257940e-07    1.251810414519138e-05
199   -9.419286732737276e-01    6.233160833541471e-01   -6.877534899149991e-07    1.254126586390534e-05
200   -9.362555973213421e-01    6.197974062460011e-01   -6.886846020656845e-07    1.256419753977088e-05
201   -9.306316460510166e-01    6.163179900339611e-01   -6.895889631558944e-07    1.258690208990319e-05
202   -9.250560834219774e-01    6.128772621832317e-01   -6.904666400164634e-07    1.260938238949008e-05
203   -9.195281858314256e-01    6.094746590770054e-01   -6.913176999628590e-07    1.263164127245249e-05
204   -9.140472419802583e-01    6.061096259164216e-01   -6.921422108261812e-07    1.265368153209325e-05
205   -9.086125527368107e-01    6.027816166191837e-01   -6.929402409833151e-07    1.267550592173434e-05
206   -9.032234309987539e-01    5.994900937169847e-01   -6.937118593861971e-07    1.269711715534291e-05
207   -8.978792015533196e-01    5.962345282518966e-01   -6.944571355901831e-07    1.271851790814619e-05
208   -8.925792009360052e-01    5.930143996718698e-01   -6.951761397814984e-07    1.273971081723576e-05
209   -8.873227772879085e-01    5.898291957254751e-01   -6.958689428037507e-07    1.276069848216101e-05
210   -8.821092902118446e-01    5.866784123560252e-01   -6.965356161834972e-07    1.278148346551247e-05
211   -8.769381106273825e-01    5.835615535951937e-01   -6.971762321548479e-07    1.280206829349481e-05
212   -8.718086206249457e-01    5.804781314562545e-01   -6.977908636830970e-07    1.282245545648999e-05
213   -8.667202133191083e-01    5.774276658270501e-01   -6.983795844873728e-07    1.284264740961062e-05
214   -8.616722927012236e-01    5.744096843627977e-01   -6.989424690623006e-07    1.286264657324381e-05
215   -8.566642734915045e-01    5.714237223788294e-01   -6.994795926986708e-07    1.288245533358563e-05
216   -8.516955809906871e-01    5.684693227433655e-01   -6.999910315031111e-07    1.290207604316643e-05
217   -8.467656509313835e-01    5.655460357704066e-01   -7.004768624167551e-07    1.292151102136718e-05
218   -8.418739293292554e-01    5.626534191128331e-01   -7.009371632329140e-07    1.294076255492700e-05
219   -8.370198723341012e-01    5.597910376557848e-01   -7.013720126137493e-07    1.295983289844208e-05
220   -8.322029460809681e-01    5.569584634104046e-01   -7.017814901059371e-07    1.297872427485615e-05
221   -8.274226265413993e-01    5.541552754080075e-01   -7.021656761553515e-07    1.299743887594263e-05
222   -8.226783993748975e-01    5.513810595947468e-01   -7.025246521207442e-07    1.301597886277874e-05
223   -8.179697597807091e-01    5.486354087268361e-01   -7.028585002864466e-07    1.303434636621156e-05
224   -8.132962123500175e-01    5.459179222663864e-01   -7.031673038740891e-07    1.305254348731637e-05
225   -8.086572709186226e-01    5.432282062779114e-01   -7.034511470533509e-07    1.307057229784728e-05
226   -8.040524584201966e-01    5.405658733255506e-01   -7.037101149517459e-07    1.308843484068039e-05
227   -7.994813067401876e-01    5.379305423710596e-01   -7.039442936634561e-07    1.310613313024962e-05
228   -7.949433565704466e-01    5.353218386726057e-01   -7.041537702572233e-07    1.312366915297528e-05
229   -7.904381572646474e-01    5.327393936844141e-01   -7.043386327833088e-07    1.314104486768559e-05
230   -7.859652666945671e-01    5.301828449572997e-01   -7.044989702795350e-07    1.315826220603129e-05
231   -7.815242511072817e-01    5.276518360401170e-01   -7.046348727764149e-07    1.317532307289342e-05
232   -7.771146849833540e-01    5.251460163821622e-01   -7.047464313014041e-07    1.319222934678442e-05
233   -7.727361508960447e-01    5.226650412365536e-01   -7.048337378822525e-07    1.320898288024272e-05
234   -7.683882393716241e-01    5.202085715646176e-01   -7.048968855495124e-07    1.322558550022090e-05
235   -7.640705487508154e-01    5.177762739413042e-01   -7.049359683381858e-07    1.324203900846749e-05
236   -7.597826850514262e-01    5.153678204616522e-01   -7.049510812885436e-07    1.325834518190271e-05
237   -7.555242618322078e-01    5.129828886483229e-01   -7.049423204461277e-07    1.327450577298800e-05
238   -7.512949000579849e-01    5.106211613602231e-01   -7.049097828609543e-07    1.329052251008972e-05
239   -7.470942279660893e-01    5.082823267022248e-01   -7.048535665859318e-07    1.330639709783693e-05
240   -7.429218809341409e-01    5.059660779360049e-01   -7.047737706745191e-07    1.332213121747349e-05
241   -7.387775013491953e-01    5.036721133920051e-01   -7.046704951776272e-07    1.333772652720445e-05
242   -7.346607384783068e-01    5.014001363825323e-01   -7.045438411398051e-07    1.335318466253702e-05
243   -7.305712483405121e-01    4.991498551159990e-01   -7.043939105946987e-07    1.336850723661604e-05
244   -7.265086935802804e-01    4.969209826123160e-01   -7.042208065598301e-07    1.338369584055412e-05
245   -7.224727433424382e-01    4.947132366194397e-01   -7.040246330306951e-07    1.339875204375664e-05
246   -7.184630731485970e-01    4.925263395310771e-01   -7.038054949742077e-07    1.341367739424143e-05
247   -7.144793647751030e-01    4.903600183055553e-01   -7.035634983215095e-07    1.342847341895366e-05
248   -7.105213061325180e-01    4.882140043858508e-01   -7.032987499601582e-07    1.344314162407554e-05
249   -7.065885911466573e-01    4.860880336207830e-01   -7.030113577257212e-07    1.345768349533129e-05
250   -7.026809196411874e-01    4.839818461873702e-01   -7.027014303927871e-07    1.347210049828729e-05
251   -6.987979972217997e-01    4.818951865143450e-01   -7.023690776654164e-07    1.348639407864752e-05
252   -6.949395351619726e-01    4.798278032068266e-01   -7.020144101670551e-07    1.350056566254442e-05
253   -6.911052502903167e-01    4.777794489721474e-01   -7.016375394299166e-07    1.351461665682522e-05
254   -6.872948648795312e-01    4.757498805468285e-01   -7.012385778838727e-07    1.352854844933374e-05
255   -6.835081065369512e-01    4.737388586246978e-01   -7.008176388448471e-07    1.354236240918793e-05
256   -6.797447080967088e-01    4.717461477861465e-01   -7.003748365027508e-07    1.355605988705302e-05
257   -6.760044075135033e-01    4.697715164285164e-01   -6.999102859089704e-07    1.356964221541049e-05
258   -6.722869477579738e-01    4.678147366976101e-01   -6.994241029634215e-07    1.358311070882287e-05
259   -6.685920767136853e-01    4.658755844203163e-01   -6.989164044011965e-07    1.359646666419445e-05
260   -6.649195470757215e-01    4.639538390383438e-01   -6.983873077788197e-07    1.360971136102800e-05
261   -6.612691162508758e-01    4.620492835430502e-01   -6.978369314601216e-07    1.362284606167751e-05
262   -6.576405462594496e-01    4.601617044113641e-01   -6.972653946017684e-07    1.363587201159711e-05
263   -6.540336036386392e-01    4.582908915427801e-01   -6.966728171384420e-07    1.364879043958609e-05
264   -6.504480593475090e-01    4.564366381974267e-01   -6.960593197676984e-07    1.366160255803028e-05
265   -6.468836886735589e-01    4.545987409351909e-01   -6.954250239345328e-07    1.367430956313963e-05
266   -6.433402711408464e-01    4.527769995558867e-01   -6.947700518156421e-07    1.368691263518227e-05
267   -6.398175904196908e-01    4.509712170404646e-01   -6.940945263034257e-07    1.369941293871491e-05
268   -6.363154342379224e-01    4.491811994932400e-01   -6.933985709897284e-07    1.371181162280981e-05
269   -6.328335942936825e-01    4.474067560851374e-01   -6.926823101493456e-07    1.372410982127827e-05
270   -6.293718661697566e-01    4.456476989979329e-01   -6.919458687233053e-07    1.373630865289073e-05
271   -6.259300492494307e-01    4.439038433694864e-01   -6.911893723019432e-07    1.374840922159352e-05
272   -6.225079466338598e-01    4.421750072399490e-01   -6.904129471077850e-07    1.376041261672239e-05
273   -6.191053650609346e-01    4.404610114989340e-01   -6.896167199782534e-07    1.377231991321272e-05
274   -6.157221148256337e-01    4.387616798336388e-01   -6.888008183482106e-07    1.378413217180664e-05
275   -6.123580097018478e-01    4.370768386779051e-01   -6.879653702323555e-07    1.379585043925698e-05
276   -6.090128668656630e-01    4.354063171622048e-01   -6.871105042074838e-07    1.380747574852814e-05
277   -6.056865068200878e-01    4.337499470645380e-01   -6.862363493946357e-07    1.381900911899401e-05
278   -6.023787533212047e-01    4.321075627622309e-01   -6.853430354411252e-07    1.383045155663279e-05
279   -5.990894333057395e-01    4.304790011846208e-01   -6.844306925024853e-07    1.384180405421901e-05
280   -5.958183768200283e-01    4.288641017666146e-01   -6.834994512243325e-07    1.385306759151259e-05
281   -5.925654169503629e-01    4.272627064031084e-01   -6.825494427241583e-07    1.386424313544509e-05
282   -5.893303897547046e-01    4.256746594042544e-01   -6.815807985730687e-07    1.387533164030319e-05
283   -5.861131341957481e-01    4.240998074515639e-01   -6.805936507774806e-07    1.388633404790933e-05
284   -5.829134920753148e-01    4.225379995548315e-01   -6.795881317607844e-07    1.389725128779989e-05
285   -5.797313079700660e-01    4.209890870098684e-01   -6.785643743449870e-07    1.390808427740033e-05
286   -5.765664291685082e-01    4.194529233570327e-01   -6.775225117323391e-07    1.391883392219809e-05
287   -5.734187056092920e-01    4.179293643405423e-01   -6.764626774869812e-07    1.392950111591271e-05
